127.0.0.1 - - [29/Jun/2024:16:55:50 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [29/Jun/2024:16:55:51 +0530] "GET /my-fashion-app/index.jsp HTTP/1.1" 200 55437
0:0:0:0:0:0:0:1 - - [29/Jun/2024:16:55:52 +0530] "GET /my-fashion-app/other/stylesheet.css?modified=20012009 HTTP/1.1" 200 4951
0:0:0:0:0:0:0:1 - - [29/Jun/2024:16:55:52 +0530] "GET /my-fashion-app/images/home/pink.png HTTP/1.1" 200 743435
0:0:0:0:0:0:0:1 - - [29/Jun/2024:16:55:52 +0530] "GET /my-fashion-app/images/home/Screenshot%202024-06-19%20130831.png HTTP/1.1" 200 2617707
0:0:0:0:0:0:0:1 - - [29/Jun/2024:16:55:52 +0530] "GET /my-fashion-app/images/home/fun.png HTTP/1.1" 200 1615525
0:0:0:0:0:0:0:1 - - [29/Jun/2024:16:55:52 +0530] "GET /my-fashion-app/img/product/co-ord1.png HTTP/1.1" 200 213589
0:0:0:0:0:0:0:1 - - [29/Jun/2024:16:55:52 +0530] "GET /my-fashion-app/img/product/denime1.png HTTP/1.1" 200 129038
0:0:0:0:0:0:0:1 - - [29/Jun/2024:16:55:52 +0530] "GET /my-fashion-app/images/img.png HTTP/1.1" 200 4467
0:0:0:0:0:0:0:1 - - [29/Jun/2024:16:55:52 +0530] "GET /my-fashion-app/img/product/denime2.png HTTP/1.1" 200 114712
0:0:0:0:0:0:0:1 - - [29/Jun/2024:16:55:52 +0530] "GET /my-fashion-app/img/product/dress1.png HTTP/1.1" 200 237084
0:0:0:0:0:0:0:1 - - [29/Jun/2024:16:55:52 +0530] "GET /my-fashion-app/img/product/dress2.png HTTP/1.1" 200 228797
0:0:0:0:0:0:0:1 - - [29/Jun/2024:16:55:52 +0530] "GET /my-fashion-app/img/product/short1.png HTTP/1.1" 200 164275
0:0:0:0:0:0:0:1 - - [29/Jun/2024:16:55:52 +0530] "GET /my-fashion-app/img/product/short2.png HTTP/1.1" 200 162592
0:0:0:0:0:0:0:1 - - [29/Jun/2024:16:55:52 +0530] "GET /my-fashion-app/img/product/tee1.png HTTP/1.1" 200 272080
0:0:0:0:0:0:0:1 - - [29/Jun/2024:16:55:52 +0530] "GET /my-fashion-app/img/product/tee2.png HTTP/1.1" 200 256920
0:0:0:0:0:0:0:1 - - [29/Jun/2024:16:55:52 +0530] "GET /my-fashion-app/img/product/top1.png HTTP/1.1" 200 239139
0:0:0:0:0:0:0:1 - - [29/Jun/2024:16:55:52 +0530] "GET /my-fashion-app/images/categories/co-ords.png HTTP/1.1" 200 685766
0:0:0:0:0:0:0:1 - - [29/Jun/2024:16:55:52 +0530] "GET /my-fashion-app/images/categories/denime_Cat.png HTTP/1.1" 200 698173
0:0:0:0:0:0:0:1 - - [29/Jun/2024:16:55:52 +0530] "GET /my-fashion-app/images/categories/dresses.png HTTP/1.1" 200 745995
0:0:0:0:0:0:0:1 - - [29/Jun/2024:16:55:52 +0530] "GET /my-fashion-app/images/categories/skirt_shorts.png HTTP/1.1" 200 671007
0:0:0:0:0:0:0:1 - - [29/Jun/2024:16:55:52 +0530] "GET /my-fashion-app/images/categories/tees.png HTTP/1.1" 200 597664
0:0:0:0:0:0:0:1 - - [29/Jun/2024:16:55:52 +0530] "GET /my-fashion-app/images/categories/tops.png HTTP/1.1" 200 605618
0:0:0:0:0:0:0:1 - - [29/Jun/2024:16:55:52 +0530] "GET /my-fashion-app/images/footer/amazonpay.svg HTTP/1.1" 200 8763
0:0:0:0:0:0:0:1 - - [29/Jun/2024:16:55:52 +0530] "GET /my-fashion-app/images/footer/american-express.svg HTTP/1.1" 200 12734
0:0:0:0:0:0:0:1 - - [29/Jun/2024:16:55:52 +0530] "GET /my-fashion-app/images/footer/paypal.svg HTTP/1.1" 200 5586
0:0:0:0:0:0:0:1 - - [29/Jun/2024:16:55:52 +0530] "GET /my-fashion-app/images/footer/mastercard.svg HTTP/1.1" 200 12102
0:0:0:0:0:0:0:1 - - [29/Jun/2024:16:55:52 +0530] "GET /my-fashion-app/images/footer/visa.svg HTTP/1.1" 200 3371
0:0:0:0:0:0:0:1 - - [29/Jun/2024:16:55:52 +0530] "GET /my-fashion-app/images/footer/appstore-btn.svg HTTP/1.1" 200 12812
0:0:0:0:0:0:0:1 - - [29/Jun/2024:16:55:52 +0530] "GET /my-fashion-app/images/footer/googleplay-btn.svg HTTP/1.1" 200 9502
0:0:0:0:0:0:0:1 - - [29/Jun/2024:16:56:01 +0530] "GET /my-fashion-app/login.jsp HTTP/1.1" 200 14543
0:0:0:0:0:0:0:1 - - [29/Jun/2024:16:56:04 +0530] "POST /my-fashion-app/loginServlet HTTP/1.1" 200 14564
0:0:0:0:0:0:0:1 - - [29/Jun/2024:16:56:15 +0530] "GET /my-fashion-app/registor.jsp HTTP/1.1" 200 17525
0:0:0:0:0:0:0:1 - - [29/Jun/2024:16:56:15 +0530] "GET /my-fashion-app/other/resistor.css HTTP/1.1" 200 929
0:0:0:0:0:0:0:1 - - [29/Jun/2024:16:56:50 +0530] "POST /my-fashion-app/register HTTP/1.1" 200 55655
0:0:0:0:0:0:0:1 - - [29/Jun/2024:17:57:43 +0530] "POST /my-fashion-app/register HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [29/Jun/2024:17:57:52 +0530] "GET /my-fashion-app/login.jsp HTTP/1.1" 200 14543
0:0:0:0:0:0:0:1 - - [29/Jun/2024:17:57:58 +0530] "POST /my-fashion-app/loginServlet HTTP/1.1" 200 14564
0:0:0:0:0:0:0:1 - - [29/Jun/2024:17:58:03 +0530] "GET /my-fashion-app/login.jsp HTTP/1.1" 200 14543
0:0:0:0:0:0:0:1 - - [29/Jun/2024:17:58:08 +0530] "POST /my-fashion-app/loginServlet HTTP/1.1" 200 14564
0:0:0:0:0:0:0:1 - - [29/Jun/2024:17:58:12 +0530] "GET /my-fashion-app/registor.jsp HTTP/1.1" 200 17525
0:0:0:0:0:0:0:1 - - [29/Jun/2024:17:58:40 +0530] "POST /my-fashion-app/register HTTP/1.1" 200 18
