0:0:0:0:0:0:0:1 - - [26/Jun/2024:14:00:13 +0530] "GET /my-fashion-app/product.jsp?category=all HTTP/1.1" 200 106342
0:0:0:0:0:0:0:1 - - [26/Jun/2024:14:05:38 +0530] "GET /my-fashion-app/product.jsp?category=all HTTP/1.1" 200 106445
0:0:0:0:0:0:0:1 - - [26/Jun/2024:14:05:57 +0530] "GET /my-fashion-app/product.jsp?category=all HTTP/1.1" 200 106446
0:0:0:0:0:0:0:1 - - [26/Jun/2024:14:07:57 +0530] "GET /my-fashion-app/product.jsp?category=all HTTP/1.1" 200 106538
0:0:0:0:0:0:0:1 - - [26/Jun/2024:14:11:00 +0530] "GET /my-fashion-app/product.jsp?category=all HTTP/1.1" 200 106544
0:0:0:0:0:0:0:1 - - [26/Jun/2024:14:12:59 +0530] "GET /my-fashion-app/product.jsp?category=all HTTP/1.1" 200 106543
0:0:0:0:0:0:0:1 - - [26/Jun/2024:14:24:26 +0530] "GET /my-fashion-app/product.jsp?category=all HTTP/1.1" 200 106404
0:0:0:0:0:0:0:1 - - [26/Jun/2024:14:24:31 +0530] "GET /my-fashion-app/product.jsp?category=Denim HTTP/1.1" 200 35163
0:0:0:0:0:0:0:1 - - [26/Jun/2024:14:24:35 +0530] "GET /my-fashion-app/product.jsp?category=Skirts%20and%20Shorts HTTP/1.1" 200 38734
0:0:0:0:0:0:0:1 - - [26/Jun/2024:14:24:38 +0530] "GET /my-fashion-app/product.jsp?category=Tees HTTP/1.1" 200 38704
0:0:0:0:0:0:0:1 - - [26/Jun/2024:14:24:41 +0530] "GET /my-fashion-app/product.jsp?category=Tops HTTP/1.1" 200 35128
0:0:0:0:0:0:0:1 - - [26/Jun/2024:14:30:52 +0530] "GET /my-fashion-app/product.jsp?category=Tops HTTP/1.1" 200 35350
0:0:0:0:0:0:0:1 - - [26/Jun/2024:14:32:44 +0530] "GET /my-fashion-app/product.jsp?category=Tops HTTP/1.1" 200 35469
0:0:0:0:0:0:0:1 - - [26/Jun/2024:14:33:00 +0530] "GET /my-fashion-app/product.jsp?category=Tops HTTP/1.1" 200 35470
0:0:0:0:0:0:0:1 - - [26/Jun/2024:14:33:20 +0530] "GET /my-fashion-app/product.jsp?category=Tops HTTP/1.1" 200 35470
